specName,gpu,tflops,gpuMem,gpuBandwidth,k,resourcePool,gpuCards,totalGPUCount
PC-Basic,Nvidia T4 1/4,2.035249948501587,8G,Low Speed,3.3117,ARS,0.25,433.32
PC-Standard,Nvidia T4 1/3,2.7139999866485596,16G,Medium Speed,4.8453,ARS,0.33,433.32
PC-Advanced,Nvidia T4 1/2,4.070499897003174,32G,High Speed,8.9348,ARS,0.5,433.32
PC-Premium,Nvidia T4,8.140999794006348,64G,Ultra High Speed,15.2026,ARS,1.0,433.32
Mobile-Basic,Adreno650 1/4,0.35499998927116394,4G,Low Speed,0.7156,ARS,0.25,433.32
Mobile-Standard,Adreno650 1/3,0.4729999899864197,6G,Medium Speed,0.8104,ARS,0.33,433.32
Mobile-Advanced,Adreno650 1/2,0.7099999785423279,8G,High Speed,1.0000,ARS,0.5,433.32
Mobile-Premium,Adreno650,1.4199999570846558,12G,Ultra High Speed,1.5688,ARS,1.0,433.32
Phone-Basic,RK3588 1/4,0.1525000035762787,4G,Low Speed,0.4611,ARS,0.25,433.32
Phone-Standard,RK3588 1/3,0.20329999923706055,6G,Medium Speed,0.5429,ARS,0.33,433.32
Phone-Advanced,RK3588 1/2,0.3050000071525574,8G,High Speed,0.7066,ARS,0.5,433.32
Phone-Premium,RK3588,0.6105999946594238,12G,Ultra High Speed,1.1976,ARS,1.0,433.32
HE-Basic,Adreno650 1/4,0.35499998927116394,3G,Low Speed,0,HE,0.25,433.32
HE-Standard,Adreno650 1/3,0.4729999899864197,4G,Medium Speed,0,HE,0.33,433.32
HE-Advanced,Adreno650 1/2,0.7099999785423279,6G,High Speed,0,HE,0.5,433.32
HE-Premium,Adreno650,1.4199999570846558,12G,Ultra High Speed,0,HE,1.0,433.32
T4,T4,8.140999794006348,8G,High Speed,12.3873,BM,1.0,433.32
4070,4070,29.149999618530273,12G,High Speed,16.3978,BM,1.0,433.32
4090,4090,82.58000183105469,16G,High Speed,30.6280,BM,1.0,433.32
A100 80G,A100 80G,155.9199981689453,512G,High Speed,108.9650,BM,1.0,433.32
H100,H100,989.0,1T,High Speed,147.8390,BM,1.0,433.32
L40S,L40S,91.5999984741211,512G,High Speed,54.7770,BM,1.0,433.32
T4x4,T4x4,32.56399917602539,42G,High Speed,49.5492,BM,4.0,433.32
4070x4,4070x4,116.5999984741211,48G,High Speed,65.5910,BM,4.0,433.32
4090x4,4090x4,330.32000732421875,64G,High Speed,122.5120,BM,4.0,433.32
A100 80Gx4,A100 80Gx4,623.6799926757812,2T,High Speed,435.8600,BM,4.0,433.32
H100x4,H100x4,3956.0,4T,High Speed,591.3560,BM,4.0,433.32
L40Sx4,L40Sx4,366.44000244140625,2T,High Speed,219.1080,BM,4.0,433.32
T4x8,T4x8,65.12799835205078,64G,High Speed,99.0984,BM,8.0,433.32
4070x8,4070x8,233.1999969482422,96G,High Speed,131.1821,BM,8.0,433.32
4090x8,4090x8,660.6400146484375,128G,High Speed,245.0240,BM,8.0,433.32
A100 80Gx8,A100 80Gx8,1247.3599853515625,4T,High Speed,871.7200,BM,8.0,433.32
H100x8,H100x8,7912.0,8T,High Speed,1182.7120,BM,8.0,433.32
L40Sx8,L40Sx8,732.8800048828125,4T,High Speed,438.2160,BM,8.0,433.32
A6000,A6000,38.709999084472656,6G,High Speed,35.3400,BM,1.0,433.32
A6000x4,A6000x4,154.83999633789062,24G,High Speed,141.3600,BM,4.0,433.32
A6000x8,A6000x8,309.67999267578125,48GB,High Speed,282.7200,BM,8.0,433.32
3080,3080,29.770000457763672,,High Speed,16.7865,BM,1.0,433.32
3090,3090,35.58000183105469,,High Speed,23.5600,BM,1.0,433.32
4060,4060,15.109999656677246,,High Speed,12.3690,BM,1.0,433.32
4080,4080,48.7400016784668,,High Speed,20.6150,BM,1.0,433.32
A4000,A4000,19.170000076293945,,High Speed,21.2040,BM,1.0,433.32
A5000,A5000,27.770000457763672,,High Speed,29.4500,BM,1.0,433.32
8000,8000,16.309999465942383,,High Speed,35.9290,BM,1.0,433.32
A10,A10,31.239999771118164,,High Speed,25.3270,BM,1.0,433.32
A16,A16,4.493000030517578,,High Speed,38.2850,BM,1.0,433.32
A40,A40,37.41999816894531,,High Speed,45.3530,BM,1.0,433.32
H200,H200,989.0,,High Speed,167.8650,BM,1.0,433.32
GB200,GB200,5000.0,,High Speed,203.2050,BM,1.0,433.32
L40,L40,90.5199966430664,,High Speed,48.8870,BM,1.0,433.32
L4,L4,30.290000915527344,,High Speed,26.5050,BM,1.0,433.32
TeslaP100,TeslaP100,9.526000022888184,,High Speed,14.1360,BM,1.0,433.32
TeslaV10016G,TeslaV10016G,14.130000114440918,,High Speed,29.4500,BM,1.0,433.32
TeslaV10032G,TeslaV10032G,14.130000114440918,,High Speed,32.3950,BM,1.0,433.32
TeslaV100S,TeslaV100S,16.350000381469727,,High Speed,35.3400,BM,1.0,433.32
3080x4,3080x4,119.08000183105469,,High Speed,67.1460,BM,4.0,433.32
3090x4,3090x4,142.32000732421875,,High Speed,94.2400,BM,4.0,433.32
4060x4,4060x4,60.439998626708984,,High Speed,49.4760,BM,4.0,433.32
4080x4,4080x4,194.9600067138672,,High Speed,82.4600,BM,4.0,433.32
A4000x4,A4000x4,76.68000030517578,,High Speed,84.8160,BM,4.0,433.32
A5000x4,A5000x4,111.08000183105469,,High Speed,117.8000,BM,4.0,433.32
8000x4,8000x4,65.23999786376953,,High Speed,143.7160,BM,4.0,433.32
A10x4,A10x4,124.95999908447266,,High Speed,101.3080,BM,4.0,433.32
A16x4,A16x4,17.972000122070312,,High Speed,153.1400,BM,4.0,433.32
A40x4,A40x4,149.67999267578125,,High Speed,181.4120,BM,4.0,433.32
H200x4,H200x4,3956.0,,High Speed,671.4600,BM,4.0,433.32
GB200x4,GB200x4,20000.0,,High Speed,812.8200,BM,4.0,433.32
L40x4,L40x4,362.0799865722656,24G,High Speed,195.5480,BM,4.0,433.32
L4x4,L4x4,121.16000366210938,,High Speed,106.0200,BM,4.0,433.32
TeslaP100x4,TeslaP100x4,38.104000091552734,,High Speed,56.5440,BM,4.0,433.32
TeslaV10016Gx4,TeslaV10016Gx4,56.52000045776367,,High Speed,117.8000,BM,4.0,433.32
TeslaV10032Gx4,TeslaV10032Gx4,56.52000045776367,,High Speed,129.5800,BM,4.0,433.32
TeslaV100Sx4,TeslaV100Sx4,65.4000015258789,,High Speed,141.3600,BM,4.0,433.32
3080x8,3080x8,238.16000366210938,,High Speed,134.2920,BM,8.0,433.32
3090x8,3090x8,284.6400146484375,,High Speed,188.4800,BM,8.0,433.32
4060x8,4060x8,120.87999725341797,,High Speed,98.9520,BM,8.0,433.32
4080x8,4080x8,389.9200134277344,,High Speed,164.9200,BM,8.0,433.32
A4000x8,A4000x8,153.36000061035156,,High Speed,169.6320,BM,8.0,433.32
A5000x8,A5000x8,222.16000366210938,,High Speed,235.6000,BM,8.0,433.32
8000x8,8000x8,130.47999572753906,,High Speed,287.4320,BM,8.0,433.32
A10x8,A10x8,249.9199981689453,,High Speed,202.6160,BM,8.0,433.32
A16x8,A16x8,35.944000244140625,,High Speed,306.2800,BM,8.0,433.32
A40x8,A40x8,299.3599853515625,,High Speed,362.8240,BM,8.0,433.32
H200x8,H200x8,7912.0,,High Speed,1342.9200,BM,8.0,433.32
GB200x8,GB200x8,40000.0,,High Speed,1625.6400,BM,8.0,433.32
L40x8,L40x8,724.1599731445312,,High Speed,391.0960,BM,8.0,433.32
L4x8,L4x8,242.32000732421875,,High Speed,212.0400,BM,8.0,433.32
TeslaP100x8,TeslaP100x8,76.20800018310547,,High Speed,113.0880,BM,8.0,433.32
TeslaV10016Gx8,TeslaV10016Gx8,113.04000091552734,,High Speed,235.6000,BM,8.0,433.32
TeslaV10032Gx8,TeslaV10032Gx8,113.04000091552734,,High Speed,259.1600,BM,8.0,433.32
TeslaV100Sx8,TeslaV100Sx8,130.8000030517578,,High Speed,282.7200,BM,8.0,433.32
L40x5,L40x5,458.04998779296875,30G,High Speed,273.8850,BM,5.0,433.32
L40x7,L40x7,641.27001953125,42G,High Speed,383.4390,BM,7.0,433.32
T4x2,T4x2,16.281999588012695,,High Speed,24.7746,BM,2.0,433.32
4070x2,4070x2,58.29999923706055,,High Speed,32.7955,BM,2.0,433.32
4090x2,4090x2,165.16000366210938,,High Speed,61.2560,BM,2.0,433.32
A100 80Gx2,A100 80Gx2,311.8399963378906,1T,High Speed,217.9300,BM,2.0,433.32
H100x2,H100x2,1978.0,,High Speed,295.6780,BM,2.0,433.32
L40Sx2,L40Sx2,183.1999969482422,,High Speed,109.5540,BM,2.0,433.32
A6000x2,A6000x2,77.41999816894531,,High Speed,70.6800,BM,2.0,433.32
3080x2,3080x2,59.540000915527344,,High Speed,33.5730,BM,2.0,433.32
3090x2,3090x2,71.16000366210938,,High Speed,47.1200,BM,2.0,433.32
4060x2,4060x2,30.219999313354492,,High Speed,24.7380,BM,2.0,433.32
4080x2,4080x2,97.4800033569336,,High Speed,41.2300,BM,2.0,433.32
A4000x2,A4000x2,38.34000015258789,,High Speed,42.4080,BM,2.0,433.32
A5000x2,A5000x2,55.540000915527344,,High Speed,58.9000,BM,2.0,433.32
8000x2,8000x2,32.619998931884766,,High Speed,71.8580,BM,2.0,433.32
A10x2,A10x2,62.47999954223633,,High Speed,50.6540,BM,2.0,433.32
A16x2,A16x2,8.986000061035156,,High Speed,76.5700,BM,2.0,433.32
A40x2,A40x2,74.83999633789062,,High Speed,90.7060,BM,2.0,433.32
H200x2,H200x2,1978.0,,High Speed,335.7300,BM,2.0,433.32
GB200x2,GB200x2,10000.0,,High Speed,406.4100,BM,2.0,433.32
L40x2,L40x2,181.0399932861328,,High Speed,97.7740,BM,2.0,433.32
L4x2,L4x2,60.58000183105469,,High Speed,53.0100,BM,2.0,433.32
TeslaP100x2,TeslaP100x2,19.052000045776367,,High Speed,28.2720,BM,2.0,433.32
TeslaV10016Gx2,TeslaV10016Gx2,28.260000228881836,,High Speed,58.9000,BM,2.0,433.32
TeslaV10032Gx2,TeslaV10032Gx2,28.260000228881836,,High Speed,64.7900,BM,2.0,433.32
TeslaV100Sx2,TeslaV100Sx2,32.70000076293945,,High Speed,70.6800,BM,2.0,433.32
A100 40G,A100 40G,155.9199981689453,,High Speed,82.4600,BM,1.0,433.32
A100 40Gx4,A100 40Gx4,623.6799926757812,,High Speed,329.8400,BM,4.0,433.32
A100 40Gx8,A100 40Gx8,1247.3599853515625,2TB DDR4,High Speed,659.6800,BM,8.0,433.32
ADA A6000,ADA A6000,38.709999084472656,,High Speed,53.0100,BM,1.0,433.32
ADA A6000x4,ADA A6000x4,154.83999633789062,,High Speed,212.0400,BM,4.0,433.32
ADA A6000x8,ADA A6000x8,309.67999267578125,,High Speed,424.0800,BM,8.0,433.32
RK3588,RK3588,1.4199999570846558,,High Speed,1.1976,BM,1.0,433.32
Snapdragon 865,Snapdragon 865,0.6105999946594238,,High Speed,1.5688,BM,1.0,433.32
4090x10,4090x10,826.0,,High Speed,306.2800,BM,10.0,433.32
