date,revenue,usdValue
2025-01-06,3094088.22130808,223857.1531928042
2025-01-05,3094088.22130808,230890.35098637
2025-01-04,3662459.909072659,261455.0901206274
2025-01-03,7959951.785936389,544900.4878763615
2025-01-02,3399086.300647937,215433.3258552533
2025-01-01,4312190.538750379,265272.2924778244
2024-12-31,3948481.158429639,249017.5048522011
2024-12-30,2835752.967155499,181278.7650813426
2024-12-29,2755832.55709041,185039.3262320659
2024-12-28,3258738.95955716,215104.418521663
2024-12-27,2781102.776461569,189324.1305387427
2024-12-26,2775217.77272174,209377.6189452169
2024-12-25,3399846.574991131,256540.0734528889
2024-12-24,2338918.82757938,172886.66439496
2024-12-23,2787550.09982106,186739.0590671779
2024-12-22,2475824.46794716,170216.7246109796
2024-12-21,8552462.324928708,635941.3816536193
2024-12-20,2570982.78094894,181052.1233207887
2024-12-19,2691225.94684847,190315.4399870117
2024-12-18,2562788.91743874,193244.8929820244
2024-12-17,2537869.545718411,199115.3408365409
2024-12-16,2741349.688599331,228685.7997209785
2024-12-15,2463573.05666031,191749.3210763831
2024-12-14,2976836.997960129,239497.2851981384
2024-12-13,3376885.89756859,279783.0278923424
2024-12-12,3933300.28403269,322496.9450474019
2024-12-11,2497635.41569542,188599.5945947816
2024-12-10,3880248.980801681,295735.9067396117
2024-12-09,2527470.13136431,224954.1693353882
2024-12-08,2215432.62500342,179849.1037554225
2024-12-07,6522213.254140999,530996.9227611038
2024-12-06,3179476.29239993,241001.6382372541
2024-12-05,2455853.80560905,178558.951706721
2024-12-04,6420483.81125715,460067.2616182704
2024-12-03,3121620.92667603,230020.6172467651
2024-12-02,2604419.44782794,198508.9338488555
2024-12-01,2557033.017149481,194507.151554848
2024-11-30,4709318.62901354,309683.2907794241
2024-11-29,2000616.43835029,134646.7126358599
2024-11-28,2196440.27231917,134091.0680388665
2024-11-27,1035033.68576544,60094.8232449085
2024-11-26,1574275.84202251,92815.62357858295
2024-11-25,1495766.81953141,91056.44594697666
2024-11-24,1494161.46836083,88498.1058469345
2024-11-23,4029702.6042028,237188.4690588531
2024-11-22,1641958.98266239,98537.93848078621
2024-11-21,1483888.89254206,87811.95141309475
2024-11-20,1483888.89254206,94116.16797952769
2024-11-19,2546541.81350422,165402.6320518235
2024-11-18,875091.6129073398,52475.23214138934
2024-11-17,2394233.509778428,146070.3303281013
2024-11-16,2080731.711943299,125021.38908105
2024-11-15,2080731.711943299,119116.5075252583
2024-11-14,2080731.711943299,125450.1516498217
2024-11-13,2080731.711943299,140359.5985762309
2024-11-12,2765620.413183689,169577.5628133373
2024-11-11,2191864.638973439,124690.9112216944
2024-11-10,2020830.658950679,115668.2648784863
2024-11-09,2318576.633905949,121625.4285693008
2024-11-08,2020830.658950649,107125.0539385929
2024-11-07,4280115.38110077,213241.8079257059
2024-11-06,2170981.59866063,98747.427695843
2024-11-05,2850912.91063907,125933.0472942617
2024-11-04,2089346.889453609,93577.96780377072
2024-11-03,2016090.863394979,93916.74069997315
2024-11-02,2016090.863394979,97656.10612062801
2024-11-01,2033610.863394979,97908.60481768896
2024-10-31,2086931.686578519,106798.4563654418
2024-10-30,2016090.863394979,101125.3738355948
2024-10-29,2016090.863394979,98160.4463840514
2024-10-28,2016090.863394979,100648.1522488486
2024-10-27,2016090.863394979,98506.66774005487
2024-10-26,2085289.632625749,95647.23391648741
2024-10-25,2016090.863394979,103192.5413205526
2024-10-24,3686138.963853109,184807.3495091047
2024-10-23,2016090.863394979,105533.3057263962
2024-10-22,2016090.863394979,108575.6838583548
2024-10-21,2016090.863394979,111483.285138811
2024-10-20,2016090.863394979,109427.8166408111
2024-10-19,2118919.525076749,116425.6988309012
2024-10-18,2016090.863394979,109468.1024225341
2024-10-17,2131885.405031359,119613.7398598063
2024-10-16,86462.07802908,5038.510832035658
2024-10-15,86462.07802908,5212.846146606918
2024-10-14,1256331.90133747,73338.12087784352
2024-10-13,1889268.48441804,112960.0128424367
2024-10-12,1889268.48441804,115456.8294052248
2024-10-11,1889268.48441804,113046.0328937461
2024-10-10,3270646.40627438,196817.9254782687
2024-10-09,1889268.48441804,113139.7760294275
2024-10-08,1889268.48441804,107036.1546854387
2024-10-07,1889268.48441804,109343.4701729657
2024-10-06,530071.51027396,30011.94212979178
2024-10-05,1641306.77492057,95136.84315816453
2024-10-04,1641306.77492057,88070.13019999443
2024-10-03,2335317.12204007,132891.1866998642
2024-10-02,1644628.1611119,96025.67164065472
2024-10-01,1644628.1611119,102191.6855494117
2024-09-30,1644681.79762267,108203.4860797042
2024-09-29,1645179.23259356,111398.8200610648
2024-09-28,2959722.89017803,197421.1448400109
2024-09-27,1343878.85248937,88734.2451010874
2024-09-26,2198301.28723383,136534.0086658472
2024-09-25,1583547.37509094,104879.929242041
2024-09-24,1637505.14860342,105040.9596535196
2024-09-23,1583547.37509094,102114.2583958413
2024-09-22,1607584.104142671,97623.94130842134
2024-09-21,1645866.24206762,98061.44794773193
2024-09-20,789928.9408933702,47248.39801919138
2024-09-19,1648123.86309867,97664.62321383583
2024-09-18,14.84230055,0.859434070021273
2024-09-17,325568.72487835,17850.09361616717
2024-09-16,1508141.35848161,86947.8536661064
2024-09-15,1540823.36344622,88824.62359591125
2024-09-14,1543060.99490888,84508.52756701369
2024-09-13,1827503.78951586,101343.3105287603
2024-09-12,1887915.50270211,94712.80326903597
2024-09-11,1114422.47152965,53560.52509030225
2024-09-10,1287478.32180434,59552.31359871286
2024-09-09,477400.2338928899,21669.21641303807
2024-09-08,595758.3332287301,26752.87473171851
2024-09-07,437679.2350136201,19157.79877251687
2024-09-06,773332.49474423,35136.49126694637
2024-09-05,488889.70013725,23394.90036365762
2024-09-04,488889.70013725,24097.02433388576
2024-09-03,601096.3658649799,31665.97990897877
2024-09-02,1397579.77503803,73275.54340166683
2024-09-01,1632096.36271521,83127.52766413693
2024-08-31,1539544.21403704,80986.18368479265
2024-08-30,379755.11342942,20338.49262197784
2024-08-29,1157962.76121523,63436.24134360068
2024-08-28,1157962.76121523,64960.13218172272
2024-08-27,1158340.71699863,89465.18492681955
2024-08-26,1050067.03522228,81102.59797750814
2024-08-25,629194.2508820499,48596.21973395663
2024-08-24,377.9557834,29.19165627161663
2024-08-23,377.9557834,29.19165627161663
2024-08-22,91278.82759483,7049.978534670126
2024-08-21,193658.37907653,14957.32856702331
2024-08-20,635958.96107839,49118.69644552389
2024-08-19,635958.96107839,49118.69644552389
2024-08-18,442300.58200186,34161.36787850057
2024-08-17,442307.3990444699,34161.89439713952
2024-08-16,661143.04747028,51063.80543910345
2024-08-15,964975.27504457,74530.48154550292
2024-08-14,1103424.94642098,85223.73032021777
2024-08-13,1470191.09366047,113551.1478979225
2024-08-12,761971.5752961499,44985.37536539209
2024-08-11,761964.7582535399,48004.98482142299
2024-08-10,761964.7582535399,46555.00628291677
2024-08-09,761964.7582535399,48674.43250801858
2024-08-08,4514.13350449,273.8010235161785
2024-08-07,4514.13350449,265.8967892029517
2024-08-06,4514.13350449,282.2062717910329
2024-08-05,10.53030046,0.5629397228712824
2024-08-04,5.58139535,0.365079838343059
2024-08-03,5.58139535,0.3774941309024422
2024-08-02,112.88460493,8.184385640549738
2024-08-01,11.13392665,0.8078821920240776
2024-07-31,11.13392665,0.7367759048527349
2024-07-30,11.13392665,0.7827476278450054
2024-07-29,11.13392665,0.8157094792149456
2024-07-28,5.5525313,0.3991625805005817
2024-07-27,5.5525313,0.4114798659700137
2024-07-26,8.08911667,0.5955948722489111
2024-07-22,36.38680087,2.862993647552059
